,name,club,rank,category,points,id,link
325,שמעון בוזגן,הפועל עירוני נוף הגליל,326,S60,722.9,996,/p/996/שמעון-בוזגן
326,אבי עדי אבני,ללא מועדון,327,S,722.4,4308,/p/4308/אבי-עדי-אבני
327,גלעד רמתי,הפועל ארנון רמת גן,328,S40,720.9,1356,/p/1356/גלעד-רמתי
328,ויקטור מירוניוק,מכבי דימונה,329,S40,720.4,3658,/p/3658/ויקטור-מירוניוק
329,אלמוג בעל צדקה,ללא מועדון,330,J17,720.2,4654,/p/4654/אלמוג-בעל-צדקה
330,שגיא מאירי,הפועל טירת הכרמל,331,S40,719.8,1567,/p/1567/שגיא-מאירי
331,אורי חאיה,בית''ר רמלה,332,J16,718.7,4190,/p/4190/אורי-חאיה
332,משה לוי,מועדון ספורט מעלה אדומים,333,S,718.7,2320,/p/2320/משה-לוי
333,יאן לנדה,הפועל אשדוד,334,S50,716.5,1376,/p/1376/יאן-לנדה
334,משה באבא,הפועל ארנון רמת גן,335,S60,716.4,986,/p/986/משה-באבא
335,שלומי אברהם,מכבי ראשל''צ טנ''ש,336,S40,716.0,2848,/p/2848/שלומי-אברהם
336,דניאל בהונקר,בית''ר רמלה,337,S50,713.8,948,/p/948/דניאל-בהונקר
337,שיזף שטרית,הפועל גליל תחתון,338,J16,712.5,3851,/p/3851/שיזף-שטרית
338,גיא קליג,הפועל ירושלים,339,S,711.2,2672,/p/2672/גיא-קליג
339,רונן גבע,הפועל יוקנעם,340,S40,710.8,4441,/p/4441/רונן-גבע
340,ויאצ'סלב גלפמן,מכבי ראשל''צ טנ''ש,341,S40,709.0,1798,/p/1798/ויאצ-סלב-גלפמן
341,דורון חכם,מכבי תל אביב,342,S50,707.6,1787,/p/1787/דורון-חכם
342,ניבי דרבסי,הפועל האקדמיה לטניס שולחן מטה יהודה,343,J18,707.5,5587,/p/5587/ניבי-דרבסי
343,אביעד צברי,אופק קריית אונו,344,S50,707.2,4638,/p/4638/אביעד-צברי
344,יבגני רובמן,כרמל מרכזי טניס שולחן חיפה,345,S50,707.1,517,/p/517/יבגני-רובמן
345,אייל תומר,מכבי ראשל''צ טנ''ש,346,S60,704.9,1796,/p/1796/אייל-תומר
346,יקיר טאיבי,טניס שולחן חיפה,347,S,704.5,6923,/p/6923/יקיר-טאיבי
347,יעקב כהן גדול,בית''ר אשדוד,348,S70,703.4,990,/p/990/יעקב-כהן-גדול
348,שליו אלפסי,הפועל טנ''ש באר שבע,349,S,703.3,2281,/p/2281/שליו-אלפסי
349,ראובן אופציבסקי,בית''ר באר שבע,350,S,702.5,5473,/p/5473/ראובן-אופציבסקי
350,אברהם פרטוש,הפועל רמת ישי,351,S40,701.7,4680,/p/4680/אברהם-פרטוש
351,שרון שאדי,הפועל חולון,352,S40,700.3,2947,/p/2947/שרון-שאדי
352,ויאצ'סלב גנין,בית''ר אשדוד,353,S40,699.1,4673,/p/4673/ויאצ-סלב-גנין
353,שמואל שור,הפועל אשדוד,354,S60,697.5,1374,/p/1374/שמואל-שור
354,עמית להב,הפועל ארנון רמת גן,355,S40,695.0,917,/p/917/עמית-להב
355,מיכאל שפירא,מועדון ספורט מעלה אדומים,356,S,692.9,2175,/p/2175/מיכאל-שפירא
356,סיימון רוזין,הפועל פתח תקווה,357,S50,691.0,4366,/p/4366/סיימון-רוזין
357,בוריס שלפמן,הפועל לוד,358,S,689.1,2995,/p/2995/בוריס-שלפמן
358,יפתח נשרי,אופק קריית אונו,359,S60,687.9,958,/p/958/יפתח-נשרי
359,אסף וקרט,מכבי זאב זכרון יעקב,360,S,687.0,1440,/p/1440/אסף-וקרט
360,שגיא גוטיינר,עירוני גבעתיים,361,S,684.6,2582,/p/2582/שגיא-גוטיינר
361,ולדימיר ספונוב,עירוני מעלות תרשיחא,362,S,682.8,8574,/p/8574/ולדימיר-ספונוב
362,משה אלנשיא,בית''ר אשדוד,363,S60,682.6,984,/p/984/משה-אלנשיא
363,אבי שמרי,הפועל חולון,364,S50,681.9,1449,/p/1449/אבי-שמרי
364,יהלי זגורי,הישגי כרמיאל,365,M13,680.4,5847,/p/5847/יהלי-זגורי
365,מיכאל גורביץ,אליצור קריית אתא,366,S60,680.4,999,/p/999/מיכאל-גורביץ
366,ויטלי זלמן,עמותת קריית מוצקין,367,S50,679.0,1244,/p/1244/ויטלי-זלמן
367,עומר לוי,הפועל גליל תחתון,368,S,678.9,693,/p/693/עומר-לוי
368,ערן סימטוב,בית''ר באר שבע,369,S,678.4,2751,/p/2751/ערן-סימטוב
369,אהוד יריב,טנ''ש 2007 נתניה,370,S50,677.8,1263,/p/1263/אהוד-יריב
370,אולג אוישר,הפועל טנ''ש באר שבע,371,S50,674.8,1409,/p/1409/אולג-אוישר
371,יורם זילכה,"מ. טנ""ש ויקטור נתניה",372,S60,674.1,522,/p/522/יורם-זילכה
372,פבל זילברשטיין,הפועל יוקנעם,373,S50,673.2,2641,/p/2641/פבל-זילברשטיין
373,יגור קיסרי,הפועל חיפה,374,S,672.6,394,/p/394/יגור-קיסרי
374,ולרי ריאבצב,עירוני מעלות תרשיחא,375,S40,672.3,7393,/p/7393/ולרי-ריאבצב
375,רביד סלודובניק,עירוני גבעתיים,376,J16,672.0,4244,/p/4244/רביד-סלודובניק
376,מיכאל מלכה,הפועל עירוני צפת,377,S,672.0,1980,/p/1980/מיכאל-מלכה
377,ולאדיסלב נמירובסקי,מ. בני הרצליה,378,S40,671.8,8063,/p/8063/ולאדיסלב-נמירובסקי
